id;Borough;ZIP.CODE;LATITUDE;LONGITUDE;LOCATION;ON.STREET.NAME;CROSS.STREET.NAME;OFF.STREET.NAME;Persons injured;Persons killed;Pedestrians injured;Pedestrians killed;Cyclist injured;Cyclist killed;Motorist injured;Motorist killed;CONTRIBUTING.FACTOR.VEHICLE.1;CONTRIBUTING.FACTOR.VEHICLE.2;CONTRIBUTING.FACTOR.VEHICLE.3;CONTRIBUTING.FACTOR.VEHICLE.4;CONTRIBUTING.FACTOR.VEHICLE.5;UNIQUE.KEY;Vehicle type1;Vehicle type2;Vehicle type3;Vehicle type4;Vehicle type5;datetime;location2;Number accidents
9868;BRONX;10473;40.819470700000004;-73.8702814;(40.8194707, -73.8702814);;;762 METCALF AVENUE                      ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3464209;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-17 13:20:00;40.8194707 -73.8702814;1
13380;QUEENS;11106;40.7581766;-73.924054;(40.7581766, -73.924054);35th street;34th avenue;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3460959;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-11 19:11:00;40.7581766 -73.924054;1
17209;QUEENS;11418;40.7014005;-73.81630859999999;(40.7014005, -73.8163086);van wyck expressway;89th avenue;                                        ;2;0;0;0;0;0;2;0;Unspecified;Unspecified;Unspecified;;;3456451;PASSENGER VEHICLE;PASSENGER VEHICLE;PASSENGER VEHICLE;;;2016-06-05 15:40:00;40.7014005 -73.8163086;1
12150;BROOKLYN;11238;40.677044;-73.9723697;(40.677044, -73.9723697);;;318 FLATBUSH AVENUE                     ;1;0;0;0;0;0;1;0;Unspecified;Unspecified;;;;3461423;PASSENGER VEHICLE;MOTORCYCLE;;;;2016-06-13 00:40:00;40.677044 -73.9723697;1
9343;BROOKLYN;11217;40.6815201;-73.9832635;(40.6815201, -73.9832635);baltic street;3rd avenue;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3464583;PASSENGER VEHICLE;;;;;2016-06-18 17:30:00;40.6815201 -73.9832635;1
5621;BROOKLYN;11209;40.626960499999996;-74.03551350000001;(40.6269605, -74.0355135);83rd street;colonial road;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3467337;PASSENGER VEHICLE;;;;;2016-06-24 08:55:00;40.6269605 -74.0355135;1
6789;QUEENS;11377;40.7459125;-73.89533359999999;(40.7459125, -73.8953336);;;40-20 70 STREET                         ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;Unspecified;;;3466995;PASSENGER VEHICLE;PASSENGER VEHICLE;PASSENGER VEHICLE;;;2016-06-22 19:14:00;40.7459125 -73.8953336;1
9616;BRONX;10456;40.8240665;-73.9087095;(40.8240665, -73.9087095);east 163rd street;3rd avenue;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3463614;PASSENGER VEHICLE;;;;;2016-06-18 05:20:00;40.8240665 -73.9087095;1
9412;QUEENS;11436;40.682852600000004;-73.7990099;(40.6828526, -73.7990099);144th street;115th avenue;                                        ;1;0;0;0;0;0;1;0;Unspecified;;;;;3464805;MOTORCYCLE;;;;;2016-06-18 18:55:00;40.6828526 -73.7990099;1
8421;QUEENS;11360;40.77643629999999;-73.77018199999999;(40.7764363, -73.770182);;;29-01 216 STREET                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3464787;VAN;;;;;2016-06-20 09:00:00;40.7764363 -73.770182;1
