id,lat1,lon1,lat2,lon2,street,speed,signed,region,distance,location
2235,40.8869197063794,-73.81703167467201,40.8872867979474,-73.81695755075029,pelham bay park west,25,no,Bronx,0.0256266062967361,40.8869197063794 -73.817031674672
1025,40.83939116,-73.870162453,40.8392539910001,-73.87009614399992,east 180 street,25,yes,Bronx,0.0100829077138787,40.83939116 -73.870162453
15381,40.739351221999996,-73.8436272549999,40.739585692,-73.84282983,meadow lake drive,25,no,Queens,0.0448707969901913,40.739351222 -73.8436272549999
19145,40.597041298716995,-74.09336573743879,40.5968041708758,-74.09263484762009,old town road,25,yes,Staten Island,0.0417793566945749,40.597041298717 -74.0933657374388
4960,40.70275059326529,-73.9942212294262,40.702655723782705,-73.9939537242849,fulton street,25,no,Brooklyn,0.0154979907852904,40.7027505932653 -73.9942212294262
18253,40.618717091420706,-74.0906691904307,40.618448876714396,-74.0907298047367,howard avenue,25,no,Staten Island,0.0187795269498329,40.6187170914207 -74.0906691904307
4796,40.6881556432684,-73.87536146066279,40.6865151188777,-73.8749522466488,euclid avenue,25,yes,Brooklyn,0.11522194822879199,40.6881556432684 -73.8753614606628
2963,40.8404474392979,-73.92073197729891,40.840275151677,-73.92109368192791,west 170 street,25,yes,Bronx,0.0223748724867739,40.8404474392979 -73.9207319772989
17106,40.641252046,-74.106880409,40.6396249960001,-74.106542427,donald place,25,no,Staten Island,0.113665562992863,40.641252046 -74.106880409
9210,40.7716407980001,-73.8256288649999,40.771303097,-73.8256387869999,143 street,25,no,Queens,0.0233081796524816,40.7716407980001 -73.8256288649999
20151,40.525420980793704,-74.2009660580371,40.5252612746881,-74.2013488832443,waterbury avenue,25,no,Staten Island,0.0229722829415586,40.5254209807937 -74.2009660580371
14126,40.7693619122225,-73.7719782949623,40.768303388590496,-73.77167615692909,corporal stone street,25,no,Queens,0.0747412991015263,40.7693619122225 -73.7719782949623
9567,40.730234118000105,-73.812891811,40.729564101,-73.81284054299991,156 street,25,no,Queens,0.0463110773510394,40.7302341180001 -73.812891811
18292,40.5342519536648,-74.15393288829209,40.534034604613296,-74.154139255722,hylan boulevard,40,yes,Staten Island,0.0185188225214711,40.5342519536648 -74.1539328882921
15812,40.768583672198794,-73.7482446285867,40.7686172259043,-73.7477301363367,poplar street,25,no,Queens,0.0270902029854579,40.7685836721988 -73.7482446285867
18636,40.5758132721649,-74.140281557348,40.574878610359605,-74.1416366719948,lighthouse avenue,25,no,Staten Island,0.0961379838262382,40.5758132721649 -74.140281557348
15346,40.728854525416104,-73.9093042560865,40.7285663781359,-73.9088376536347,long island expressway,50,yes,Queens,0.0315476144942251,40.7288545254161 -73.9093042560865
9515,40.795900790689004,-73.8117956040838,40.795115999104205,-73.8117374746047,151 place,25,no,Queens,0.0542388938523374,40.795900790689 -73.8117956040838
1174,40.8768662220985,-73.8592430798042,40.8762045719835,-73.8571846737337,east 212 street,25,no,Bronx,0.11708129445092501,40.8768662220985 -73.8592430798042
